,0,1,2,3,4,5
0,0.0,0.0,15.0,7.0,12.0,34.0
1,0.0,0.0,20.0,10.0,15.0,45.0
2,0.0,0.0,0.0,8.0,3.0,11.0
3,0.0,0.0,5.0,0.0,3.0,8.0
4,1.0,0.0,4.0,2.0,0.0,7.0
