,0,1,2,3,4,5,6
0,False,False,False,True,False,False,True
1,False,False,False,True,True,False,True
2,False,False,False,True,False,False,False
3,True,True,True,False,False,False,False
4,False,True,False,False,False,False,False
5,False,False,False,False,False,False,False
6,True,True,False,False,False,False,False
