Dataset,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa,sms_emoa
,time,gmean,fs,gmean,fs,gmean,fs
Breast_GSE22820,685.9895288070043,0.8294102256163856,2.1,0.0,0.0,0.0,0.0
Breast_GSE59246,499.09622190793357,0.7543422432067645,9.0,0.0,0.0,0.0,0.0
Breast_GSE70947,1259.577881662051,0.8128164050261144,6.6,0.0,0.0,0.0,0.0
