Dataset,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat
,time,gmean,fs,gmean,fs,gmean,fs
Breast_GSE22820,467.7597867409388,0.856037931097225,3.2666666666666666,0.8893712644305584,2.7666666666666666,0.9531440171258727,3.1666666666666665
Breast_GSE59246,287.05413370927175,0.6993475596523928,3.5,0.700095432820435,2.6666666666666665,0.6895597356716426,2.8666666666666667
Breast_GSE70947,489.35455949306487,0.8012740706963761,2.8666666666666667,0.7929771210734154,3.1333333333333333,0.795335576036632,3.4
Colorectal_GSE25070,433.1054695049922,0.9040417820143299,3.8,0.9045218300258803,3.1,0.891808220742845,3.466666666666667
Colorectal_GSE32323,854.5433434327443,0.9804737854124366,2.566666666666667,0.9569035593728848,2.3,0.9276142374915397,2.1666666666666665
Colorectal_GSE44076,585.3948037147522,0.9629451557861672,2.3,0.9610387905055693,2.2,0.9646710845787766,2.566666666666667
Colorectal_GSE44861,326.888760693868,0.8123407131867287,3.3,0.8159791956521859,2.3666666666666667,0.8048279932369801,2.1666666666666665
Leukemia_GSE22529_U133A,359.6776219209035,0.8790941676826717,3.2666666666666666,0.8399870061179926,2.3666666666666667,0.749578191578136,2.3333333333333335
Leukemia_GSE22529_U133B,379.73855617046354,0.7768394330846621,2.7,0.7656967080611154,2.033333333333333,0.8074851403307369,2.6666666666666665
Leukemia_GSE33615,457.6864117622375,0.9929618127333277,2.933333333333333,0.983198705439546,2.8,0.9709472231740018,3.0
Leukemia_GSE63270,363.69405643939973,0.8980166661224727,2.433333333333333,0.9020536560722677,2.066666666666667,0.9063856353182762,2.3333333333333335
Liver_GSE14520_U133A,572.8901732206344,0.9258249973431808,2.6333333333333333,0.9200005367749929,2.4,0.9192100746336693,3.0
Liver_GSE50579,305.726305325826,0.779002029297046,3.433333333333333,0.7979217253230327,2.4,0.7378926029424636,2.6666666666666665
Liver_GSE62232,724.4810458978017,0.9378368767590627,2.033333333333333,0.9629284033282349,1.8,0.9013363908795672,2.3
Prostate_GSE6919_U95Av2,181.29042393366495,0.623861112013233,3.933333333333333,0.6475371735007921,2.6,0.6067467289914558,2.8
Prostate_GSE6919_U95B,198.9394072532654,0.5968285945251371,4.833333333333333,0.5997845384494981,3.466666666666667,0.5523475722193283,2.8333333333333335
Prostate_GSE6919_U95C,193.30911521116892,0.6086504577305791,5.166666666666667,0.5830962924817066,4.066666666666666,0.5984839655995929,3.566666666666667
Prostate_GSE11682,192.59277225335438,0.360947570824873,3.7,0.3414213562373095,2.5,0.3511844635310913,2.1666666666666665
