Dataset,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat
,time,time_stdev,gmean,g_mean_std,fs,fs_std,gmean,g_mean_std,fs,fs_std,gmean,g_mean_std,fs,fs_std,gmean,g_mean_std,fs,fs_std
Colorectal_GSE25070,350.902729566892,311.40386956804514,0.9123936859710998,0.14823606117099195,2.7666666666666666,1.2507469032909713,0.9161032121488216,0.12229955477256281,2.533333333333333,1.224275530553741,0.9044221422464964,0.15956789023263343,2.8333333333333335,1.2058287558794354,0.9246904467622673,0.12588150436697212,3.066666666666667,1.5742175578808129
Colorectal_GSE32323,255.80822885036469,122.90277683292923,0.8971404520791032,0.26936517178160485,2.4,1.4527025943345069,0.8971404520791032,0.26936517178160485,2.0,1.2317635241028795,0.8971404520791032,0.26936517178160485,2.533333333333333,1.4319827906241325,0.8873773447853215,0.2708125346544195,2.1666666666666665,0.9128709291752769
Colorectal_GSE44076,487.67891799608867,189.4361663009469,0.9623527366175509,0.04091139794117974,2.1,0.9595257449242379,0.9623527366175509,0.04091139794117974,2.1,0.9595257449242379,0.9679993898929272,0.03884535185084705,2.3,0.9878573120474015,0.9678035813439788,0.03896071030046673,2.3666666666666667,1.0333518722845685
Colorectal_GSE44861,538.794941965739,1098.9117174047628,0.7989106895279998,0.14608901058572307,2.7,0.952311163288627,0.7963130025255933,0.1450209727512166,2.6333333333333333,0.8899179866642238,0.8154501203818723,0.12837172609294362,3.1,0.9948141396330237,0.8173828064816211,0.14018384030292438,2.9,1.0618786215460558
Liver_GSE14520_U133A,601.8748986244202,135.42176602401335,0.9020439578990275,0.059533547917297,2.033333333333333,0.7648904962570575,0.8999104837988169,0.06064069736125103,2.1,0.8847364696279085,0.9001648552350843,0.0585576186475096,2.1,0.7588557629520364,0.9003947024542422,0.06512630089668674,2.3333333333333335,0.922266074754828
Liver_GSE50579,380.70004688898723,154.13810368975533,0.7747973551352437,0.3648201906329572,3.2,0.9965457582448796,0.8022293486921909,0.33488886331659273,2.8333333333333335,1.176884646541184,0.8512271290956921,0.301228453789089,3.3666666666666667,1.0333518722845685,0.7885290446361232,0.36420240549856453,2.8333333333333335,1.2058287558794354
Liver_GSE62232,385.5413081804911,212.64149141324313,0.9453485994687756,0.056403271563989076,1.7,0.9878573120474015,0.9449419999857385,0.05913963277481532,1.5333333333333334,0.9732042112432566,0.9476615642324103,0.054426339995923854,1.8666666666666667,0.9732042112432566,0.9519672744528447,0.055871474710186476,2.1333333333333333,1.6553639735893346
Leukemia_GSE22529_U133A,322.40984490712486,152.35485466607233,0.8435060997513286,0.3426531266289389,4.866666666666666,10.906288389584315,0.876839433084662,0.3042559186873972,4.266666666666667,10.40866129168672,0.8403482882349703,0.34438564158746343,5.0,10.869127427465498,0.8626105059170281,0.303831478497144,4.366666666666666,10.233425062301826
Leukemia_GSE22529_U133B,387.44951979319256,139.97795668009954,0.8622008467928146,0.3448283427872484,3.3,1.149212624004981,0.8622008467928146,0.3448283427872484,3.066666666666667,1.257620449659713,0.8577350269189625,0.34384833805386755,3.4,1.1626367179523596,0.8875492666189598,0.3032973378763987,3.5,3.5404071458831807
Leukemia_GSE33615,457.5584341923396,167.1156929265373,0.9673188175100217,0.08210502639010245,2.7,1.2635472781569872,0.9673188175100217,0.08210502639010245,2.533333333333333,1.1366415543118709,0.9673188175100217,0.08210502639010245,2.7,1.2635472781569872,0.9708379111433578,0.08112977583215843,2.8666666666666667,1.279367659898984
Leukemia_GSE63270,453.514665611585,419.5804224247182,0.8963088109080621,0.10703669979555776,4.1,6.661003341632654,0.8902814735211824,0.10536749108495119,3.466666666666667,6.072739161164443,0.914120136165902,0.09094610624910275,4.433333333333334,6.56365821744264,0.915280146229486,0.1033130969783705,4.233333333333333,6.704004636105164
ALL-AML-full,308.3891391913096,91.78367149399836,0.845363056066653,0.20573717497181637,3.466666666666667,1.1957780134587124,0.8275741002938475,0.21737461089188317,3.3,1.290549201456229,0.8431468991279655,0.20254976922616047,3.8,1.3235271579877137,0.8393809070711405,0.2045340192033551,3.533333333333333,1.1366415543118709
Breast_GSE22820,422.26202598412834,100.20079891335082,0.9237234031200153,0.2521876646713317,3.1666666666666665,1.2887666740841357,0.9197445742479594,0.25145343064984094,2.9,1.3480509557543976,0.9237234031200153,0.2521876646713317,3.2333333333333334,1.2780193008453875,0.9867001381308182,0.02424309125737674,3.1333333333333333,1.279367659898984
Breast_GSE59246,294.98047828674316,128.25002171211494,0.7589442128632622,0.14305096586040267,3.8666666666666667,1.3578211078487255,0.742377494745161,0.14379139490466936,3.6666666666666665,1.4700066463216706,0.7422187388820983,0.12753277373251454,4.066666666666666,1.3628907749221197,0.7562497373984389,0.13990021573813952,4.166666666666667,1.366680683976335
Breast_GSE70947,607.9055907090504,541.1077805432203,0.8054043290316668,0.0868942488457984,2.433333333333333,0.9714309861845772,0.8051505384549754,0.0872344830116706,2.466666666666667,1.1957780134587124,0.8017964863033936,0.07743204321535065,2.8,1.2148506364839742,0.7944812442156803,0.06867607456985132,2.9,1.1846722229638327
breastCancer-full,393.0393812338511,914.1034993639953,0.6602537923447553,0.1396153859919059,3.9,1.493664782593009,0.626878964661156,0.16266631559278152,3.2333333333333334,1.69549775690744,0.6628284541592874,0.1489140627014875,4.2,1.4715696522350923,0.6451039094893751,0.15886396756370633,3.466666666666667,1.5477087254553341
