Dataset,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat
,time,gmean,fs,gmean,fs,gmean,fs
Breast_GSE22820,467.7597867409388,0.8880635618582425,2.4,0.8839733391503805,2.033333333333333,0.9145641383983916,1.9333333333333333
Breast_GSE59246,287.05413370927175,0.7224764485590408,3.3,0.7151373252302808,2.3333333333333335,0.6879849516128794,2.566666666666667
Breast_GSE70947,489.35455949306487,0.8000114631777481,2.566666666666667,0.7959177478624522,2.966666666666667,0.7915276159992224,2.7666666666666666
Colorectal_GSE25070,433.1054695049922,0.9303636676461607,2.1333333333333333,0.9001966129593162,1.7333333333333334,0.8849591271786154,1.6
Colorectal_GSE32323,854.5433434327443,0.960947570824873,1.4666666666666666,0.9471404520791032,1.5333333333333334,0.7776142374915397,1.1333333333333333
Colorectal_GSE44076,585.3948037147522,0.9629451557861672,2.1666666666666665,0.9521922181283363,1.7666666666666666,0.9557849052531375,1.8666666666666667
Colorectal_GSE44861,326.888760693868,0.8038316952719712,2.8666666666666667,0.8112411577452591,2.066666666666667,0.7853309885335997,1.9333333333333333
Leukemia_GSE22529_U133A,359.6776219209035,0.8790941676826717,2.1333333333333333,0.8066536727846593,1.5666666666666667,0.7882088123313991,1.3333333333333333
Leukemia_GSE22529_U133B,379.73855617046354,0.738208812331399,1.9666666666666666,0.7656967080611154,1.6,0.6550970615584111,1.3
Leukemia_GSE33615,457.6864117622375,0.9859236254666555,1.8,0.9796796118062098,1.6,0.9481384600084493,1.6333333333333333
Leukemia_GSE63270,363.69405643939973,0.9033139535424025,2.066666666666667,0.895791721417763,1.8333333333333333,0.8913799073631246,1.8333333333333333
Liver_GSE14520_U133A,572.8901732206344,0.9286704955068557,2.3666666666666667,0.920855218332162,2.1,0.9225935980291671,2.9
Liver_GSE50579,305.726305325826,0.779002029297046,2.933333333333333,0.7979217253230327,1.9,0.6459584301456704,1.9666666666666666
Liver_GSE62232,724.4810458978017,0.9356840216488455,1.8,0.9586226931078006,1.4333333333333333,0.9029667918218391,1.7666666666666666
Prostate_GSE6919_U95Av2,181.29042393366495,0.6185291580262715,3.466666666666667,0.6314134508296882,2.5,0.5930262299045713,2.433333333333333
Prostate_GSE6919_U95B,198.9394072532654,0.5968285945251371,4.6,0.5923215700999277,3.1666666666666665,0.5488047412350098,3.1666666666666665
Prostate_GSE6919_U95C,193.30911521116892,0.5936815055080292,4.866666666666666,0.591778941128842,3.0,0.6099653555593048,3.533333333333333
Prostate_GSE11682,192.59277225335438,0.3276142374915397,2.533333333333333,0.2845177968644246,2.066666666666667,0.37475468957064284,1.8666666666666667
