Dataset,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat
,time,gmean,fs,gmean,fs,gmean,fs
Breast_GSE22820,467.7597867409388,0.856037931097225,3.2333333333333334,0.8893712644305584,2.7666666666666666,0.9199220776283455,3.2333333333333334
Breast_GSE59246,287.05413370927175,0.708482388466391,3.6333333333333333,0.6779432219379963,2.7333333333333334,0.702337448413025,2.9
Breast_GSE70947,489.35455949306487,0.8006770242172315,3.9,0.79180698417248,2.8666666666666667,0.7839054753918405,3.9
Colorectal_GSE25070,433.1054695049922,0.9040417820143299,3.8,0.9045218300258803,3.1,0.9156596523969726,3.3666666666666667
Colorectal_GSE32323,854.5433434327443,0.9804737854124366,2.566666666666667,0.9569035593728848,2.3,0.9276142374915397,2.1
Colorectal_GSE44076,585.3948037147522,0.9629451557861672,2.3,0.9612400508432223,2.033333333333333,0.962985913659621,2.533333333333333
Colorectal_GSE44861,326.888760693868,0.8074249558305179,3.433333333333333,0.8125122513278612,2.1333333333333333,0.7952700493675008,1.8333333333333333
Leukemia_GSE22529_U133A,359.6776219209035,0.8790941676826717,3.3333333333333335,0.8435060997513287,2.2666666666666666,0.7260079655385845,2.3333333333333335
Leukemia_GSE22529_U133B,379.73855617046354,0.7736816215683037,2.9,0.7656967080611154,2.066666666666667,0.7924247456170256,2.6
Leukemia_GSE33615,457.6864117622375,0.9929618127333277,2.966666666666667,0.983198705439546,2.8,0.9669528724487207,3.0
Leukemia_GSE63270,363.69405643939973,0.901229144397391,2.466666666666667,0.9067038767388984,2.1666666666666665,0.9232078919685984,2.3333333333333335
Liver_GSE14520_U133A,572.8901732206344,0.92490969025378,2.6333333333333333,0.9200005367749929,2.4,0.9072838004384604,2.933333333333333
Liver_GSE50579,305.726305325826,0.779002029297046,3.433333333333333,0.7979217253230327,2.3333333333333335,0.6552876890563313,2.533333333333333
Liver_GSE62232,724.4810458978017,0.9378368767590627,2.033333333333333,0.9672341135486693,1.8,0.85886918293742,2.1333333333333333
Prostate_GSE6919_U95Av2,181.29042393366495,0.6279356965419923,4.433333333333334,0.6362726917197162,2.7,0.6057450843511093,2.3333333333333335
Prostate_GSE6919_U95B,198.9394072532654,0.5940789211431822,4.966666666666667,0.6114986640275774,3.2333333333333334,0.5168168064151514,2.2333333333333334
Prostate_GSE6919_U95C,193.30911521116892,0.6120399813475504,5.4,0.5803607362789879,3.9,0.5537807819579619,2.933333333333333
Prostate_GSE11682,192.59277225335438,0.360947570824873,3.7,0.3276142374915397,2.4,0.3776142374915397,1.8666666666666667
