Dataset,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat
,time,gmean,fs,gmean,fs,gmean,fs
Breast_GSE22820,467.7597867409388,0.856037931097225,3.2666666666666666,0.8893712644305584,2.9,0.9199220776283455,3.6666666666666665
Breast_GSE59246,287.05413370927175,0.6993475596523928,3.5,0.7102341170440795,3.2666666666666666,0.7339609627765541,3.6
Breast_GSE70947,489.35455949306487,0.8012740706963761,2.8666666666666667,0.7960438208778947,3.2333333333333334,0.7952099953649909,3.7666666666666666
Colorectal_GSE25070,433.1054695049922,0.9040417820143299,3.8,0.8879630516878313,3.7,0.9199216699438542,4.966666666666667
Colorectal_GSE32323,854.5433434327443,0.9804737854124366,2.566666666666667,0.9902368927062182,2.4,0.9804737854124366,2.9
Colorectal_GSE44076,585.3948037147522,0.9629451557861672,2.3,0.9610387905055693,2.2333333333333334,0.9701219293052045,3.033333333333333
Colorectal_GSE44861,326.888760693868,0.8123407131867287,3.3,0.8100329236382511,2.8333333333333335,0.8122399456443977,3.533333333333333
Leukemia_GSE22529_U133A,359.6776219209035,0.8790941676826717,3.2666666666666666,0.812427501016005,3.066666666666667,0.8262346197617748,3.2666666666666666
Leukemia_GSE22529_U133B,379.73855617046354,0.7768394330846621,2.7,0.7656967080611154,2.466666666666667,0.7408184736640703,3.2333333333333334
Leukemia_GSE33615,457.6864117622375,0.9929618127333277,2.933333333333333,0.9929618127333277,2.8666666666666667,0.9894427190999916,3.3333333333333335
Leukemia_GSE63270,363.69405643939973,0.8980166661224727,2.433333333333333,0.9067311337606214,2.2666666666666666,0.9282744723930315,2.9
Liver_GSE14520_U133A,572.8901732206344,0.9258249973431808,2.6333333333333333,0.9182098184054054,2.433333333333333,0.922139719211799,3.1333333333333333
Liver_GSE50579,305.726305325826,0.779002029297046,3.433333333333333,0.7971974989980701,2.6333333333333333,0.7796006966942947,3.433333333333333
Liver_GSE62232,724.4810458978017,0.9378368767590627,2.033333333333333,0.971170210092396,1.9666666666666666,0.9799417401866823,2.8666666666666667
Prostate_GSE6919_U95Av2,181.29042393366495,0.623861112013233,3.933333333333333,0.6168604743067554,3.566666666666667,0.615002042050011,3.9
Prostate_GSE6919_U95B,198.9394072532654,0.5968285945251371,4.833333333333333,0.578517819910084,4.4,0.5689456623169822,4.733333333333333
Prostate_GSE6919_U95C,193.30911521116892,0.6086504577305791,5.166666666666667,0.6016894159250731,4.633333333333334,0.6168340180733803,5.433333333333334
Prostate_GSE11682,192.59277225335438,0.360947570824873,3.7,0.4316582489435278,2.7,0.37475468957064284,3.1333333333333333
