Dataset,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat
,time,gmean,fs,gmean,fs,gmean,fs
Breast_GSE22820,467.7597867409388,0.856037931097225,3.1666666666666665,0.8893712644305584,2.8,0.9171317141775625,3.2333333333333334
Breast_GSE59246,287.05413370927175,0.7224764485590408,3.3666666666666667,0.7026525018041357,2.5,0.6805260642327753,2.966666666666667
Breast_GSE70947,489.35455949306487,0.8015304190295337,2.6666666666666665,0.7959177478624522,3.033333333333333,0.7956810304646577,2.8666666666666667
Colorectal_GSE25070,433.1054695049922,0.9040417820143299,3.8,0.9001966129593162,3.1333333333333333,0.8868138902674763,3.4
Colorectal_GSE32323,854.5433434327443,0.9804737854124366,2.566666666666667,0.9569035593728848,2.3,0.9276142374915397,2.1666666666666665
Colorectal_GSE44076,585.3948037147522,0.9629451557861672,2.2666666666666666,0.9610387905055693,2.2,0.9576136904438409,2.7666666666666666
Colorectal_GSE44861,326.888760693868,0.8083463624614476,3.2,0.8077220641119229,2.4,0.7959117593648124,2.2333333333333334
Leukemia_GSE22529_U133A,359.6776219209035,0.8790941676826717,3.2333333333333334,0.8399870061179926,2.3333333333333335,0.7926746322052511,2.433333333333333
Leukemia_GSE22529_U133B,379.73855617046354,0.7768394330846621,2.7,0.7656967080611154,2.066666666666667,0.8074851403307369,2.6666666666666665
Leukemia_GSE33615,457.6864117622375,0.9929618127333277,2.9,0.983198705439546,2.8,0.9709472231740018,2.966666666666667
Leukemia_GSE63270,363.69405643939973,0.8948041878475543,2.3333333333333335,0.8994380480758023,2.033333333333333,0.9063856353182762,2.2333333333333334
Liver_GSE14520_U133A,572.8901732206344,0.9286704955068557,2.433333333333333,0.9237287927536093,2.2333333333333334,0.9235608071700167,3.0
Liver_GSE50579,305.726305325826,0.779002029297046,3.433333333333333,0.7979217253230327,2.433333333333333,0.7349883005816394,2.433333333333333
Liver_GSE62232,724.4810458978017,0.9378368767590627,2.033333333333333,0.9607755482180178,1.7333333333333334,0.8965082264911874,2.3
Prostate_GSE6919_U95Av2,181.29042393366495,0.6212904953274015,3.6333333333333333,0.630065447012359,2.6333333333333333,0.6233261082075727,2.7333333333333334
Prostate_GSE6919_U95B,198.9394072532654,0.5968285945251371,4.666666666666667,0.5962620749792061,3.433333333333333,0.5631578496610545,3.4
Prostate_GSE6919_U95C,193.30911521116892,0.5939656659690128,5.0,0.6009333722928478,3.2666666666666666,0.6012612721202117,3.7
Prostate_GSE11682,192.59277225335438,0.37071067811865477,3.566666666666667,0.3316582489435278,2.433333333333333,0.3511844635310913,2.1666666666666665
