Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Leukemia_GSE33615,12563.836555656026,12583.571828728976,12556.298686395452,12423.926017655922,12534.653188515615,12564.535957237706,12573.54126349261,12491.493675290454,12573.195189060027,12546.141175944693,12494.01650288219,12562.586626565837,12536.864792987704,12567.95177309536,12579.997305801624,12479.780824010404,12239.523135062725,12551.772087012809,12494.874627726216,12559.116816788912,12553.967097882696,12500.22843999205,12550.454330319699,12560.947102617178,12549.130874886527,12531.709590952843,12551.785193932503,12555.461873444989,12566.270976895988,12573.067400710368
Leukemia_GSE63270,12539.09320067837,12569.0833214881,12549.506738332175,12537.865146757256,12556.053564947098,12503.402943731293,12553.338939269026,12548.124467237729,12528.03927616601,12521.575216648438,12499.333761429425,12445.021645498844,12519.657566553798,12536.689204603434,12493.897372449841,12531.76965105161,12496.791847232675,12497.726732566198,12529.532194709565,12508.056223700778,12519.080033241857,12493.840573904032,12511.767411704888,12463.718516514102,12530.130334076082,12527.457089276302,12521.721623484389,12543.969793387429,12479.662222231245,12519.544387486736
ALL-AML-full,12473.4840659004,12532.722913976759,12513.467254683375,12540.526234965757,12488.353103234876,12442.41426952419,12511.016987800598,12527.588488195737,12547.938993199508,12514.379363236694,12477.045593082905,12557.225322246552,12522.381025515066,12486.649133916706,12417.691678998808,12423.238229319588,12446.937785446644,12478.073009461148,12437.827633886585,12513.148119445963,12439.058247220924,12510.440475642175,12410.843083270805,12480.308784495755,12399.88352017012,12565.985816368833,12553.8008726798,12456.774752317371,12478.558884082033,12520.733918994665
Liver_GSE14520_U133A,12458.205903840233,12435.774160650144,12536.182508603475,12503.456046130335,12501.388671818278,12537.4282759153,12502.970350577523,12538.900913927919,12515.047969264828,12504.200328758103,12546.505218394563,12520.817620075703,12474.554803648765,12511.222329819797,12512.068797353491,12523.397927988077,12540.236148655415,12500.638874075386,12544.720320604742,12496.773439051016,12501.158509044475,12489.386155402193,12548.823402024089,12526.81814457377,12493.592264560284,12521.365094379058,12492.911188364029,12491.15514755249,12520.759249225259,12520.759975740815
Liver_GSE50579,12272.467852294445,12539.234089869597,12552.66249359399,12499.947431558045,12498.80144216284,12457.4262808852,12490.840813954472,12583.170517693155,12482.596353033141,12531.3344748889,12369.941720235482,12532.01975507051,12520.860512203473,12524.61240313973,12452.909892493173,12490.390004656092,12548.987106149118,12565.437990818173,12474.813214267086,12484.150611996245,12386.24611317751,12543.8708084354,12411.503142097294,12535.126210297269,12372.429253220558,12501.352561193331,12540.921725667155,12531.77199418477,12254.246697944984,12523.734962965544
Liver_GSE62232,12521.191726154606,12494.29825632169,12546.037342749536,12531.055703457765,12556.391305011959,12535.236242666484,12499.727749293043,12543.406251264545,12534.658170831084,12519.525059003208,12533.676302470692,12437.189923316608,12563.565576733865,12552.601945814671,12538.35729308408,12505.01428683532,12528.394830968231,12578.723204613585,12542.89003858871,12484.051482907145,12541.29262686322,12531.986319295622,12542.632082274997,12516.814987446882,12521.730828152924,12541.650590646925,12430.421302432162,12542.623852147355,12493.05965384162,12505.41023843585
Prostate_GSE6919_U95Av2,12370.054837931419,12393.97402961042,12389.637354910374,12383.899869523091,12427.758399435394,11986.11,12378.388075095294,12419.594068218192,12438.850770146099,12458.432124059764,12398.11964404132,12453.520291710816,12414.932864807612,12388.839796441036,12344.672822110791,12424.761989891504,12420.978156028334,12373.494841193638,12285.365186012099,12447.794741906046,12457.215919225848,12411.76434647204,12404.831906023746,12373.0626816218,12418.293405540457,12265.076654604589,12373.10491463542,12449.135606268794,12381.819247972453,12435.86850471993
Prostate_GSE6919_U95B,12428.030016861903,12372.430349946022,12423.442080704655,12464.725843215998,12410.979860238953,12415.198702301233,12370.553773165993,12460.623843359797,12430.938271019624,12359.596085396124,12308.373062350054,12447.101196807267,12349.071563613436,12389.090918573096,12449.457484692335,12387.519217221765,12401.067049312314,12446.540593445301,12423.82653405805,12320.199264881325,12399.266242265701,12391.470672277981,12463.541551580227,12380.892042438612,12420.758848986588,12325.24104125834,12399.8963814081,12441.032530128956,12437.99648282199,12382.05380004401
Prostate_GSE11682,12477.443313298543,12353.829088152504,12246.455867450959,12496.46098572267,12251.693662047386,12466.880976498127,12545.541863049602,12500.96959605813,12351.79089478203,12338.942707479,12450.560296355874,12395.43684614711,12327.142195965665,12485.906350366067,12136.258692383766,12080.120867619487,12465.234980942707,12260.00635019796,12448.723613148031,12132.094729738816,12447.624882942113,12546.96334609567,12291.262013299523,12213.351762954582,12227.101049440815,12349.864027429167,12137.910302065075,12271.95011138916,12210.638680581336,12402.914183974266
prostate_tumorVSNormal-full,12396.150810844014,12408.750999531734,12489.4095385994,12441.185753208752,12504.077104002237,12461.297123379416,12413.206099157194,12397.397574365139,12441.583541622575,12439.690355062485,12442.509009718895,12422.539644722356,12421.126358039148,12438.741853094563,12464.562885025332,12445.70243747465,12469.2698349212,12460.255866350559,12464.84039408034,12423.953816036434,12339.623794198036,12346.401156828302,12490.463814147739,12479.847687856003,12446.98120619447,12493.848251750422,12435.383409083926,12431.177263767451,12404.330785696304,12403.69142859472
