Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Leukemia_GSE63270,0.816496581,0.912870929,1,0.912870929,1,0.707106781,1,0.707106781,1,0.866025404,0.632455532,0.912870929,1,0.912870929,0.866025404,1,1,1,0.912870929,1,1,1,0.912870929,0.866025404,0.816496581,0.912870929,1,1,1,0.790569415
ALL-AML-full,0.894427191,0.816496581,1,1,0.894427191,0.894427191,0.894427191,0.816496581,0.816496581,0.866025404,0.774596669,1,1,1,0.894427191,1,0.547722558,0.577350269,0.707106781,1,0.894427191,0.894427191,0,0.774596669,1,0.774596669,0.632455532,0.816496581,1,1
Breast_GSE22820,1,0.960768923,0.960768923,1,0.919866211,1,1,1,1,0.957427108,1,1,1,1,1,1,0.960768923,1,0.919866211,1,1,1,1,1,1,1,1,0.960768923,0.960768923,1
Breast_GSE59246,0.816496581,0.632455532,0.894427191,0.692820323,0.692820323,0.912870929,0.816496581,0.866025404,0.707106781,0.456435465,0.730296743,0.692820323,0.894427191,0.565685425,0.894427191,0.790569415,0.866025404,0.816496581,0.707106781,1,0.707106781,0.4,0.894427191,0.632455532,0.692820323,0.912870929,0.816496581,0.612372436,0.866025404,0.707106781
Breast_GSE70947,0.683130051,0.845154255,0.723746864,0.703731551,0.755928946,0.759072115,0.894427191,0.828078671,0.825198389,0.749149177,1,0.801783726,0.801783726,0.825198389,0.703731551,0.792824967,0.717137166,0.825198389,0.816496581,0.820651807,0.755928946,0.816496581,0.825198389,0.825198389,0.703731551,0.816496581,0.759072115,0.717137166,0.856348839,0.88640526
breastCancer-full,0.6,0.774596669,0.774596669,0.6,0.692820323,0.774596669,0.816496581,0.707106781,0.774596669,0.774596669,0.774596669,0.282842712,0.565685425,0.774596669,0.8,0.632455532,0.707106781,0.387298335,0.547722558,0.447213595,1,0.692820323,0.489897949,0.447213595,0.489897949,0.774596669,0.707106781,0.547722558,0.547722558,0.447213595
Prostate_GSE6919_U95Av2,0.597614305,0.534522484,0.845154255,0.267261242,0.666666667,0.5,0.577350269,0.577350269,0.745355992,0.645497224,0.690065559,0.755928946,0.690065559,0.597614305,0.471404521,0.577350269,0.471404521,0.577350269,0.40824829,0.745355992,0.654653671,0.534522484,0.534522484,0.46291005,0.645497224,0.666666667,0.471404521,0.745355992,0.471404521,0.745355992
Prostate_GSE6919_U95B,0.690065559,0.43643578,0.755928946,0.845154255,0.5,0.471404521,0.288675135,0.645497224,0.816496581,0.645497224,0.46291005,0.534522484,0.597614305,0.755928946,0.745355992,0.527046277,0.333333333,0.577350269,0.5,0.707106781,0.487950036,0.690065559,0.6172134,0.377964473,0.745355992,0.40824829,0.471404521,0.745355992,0.912870929,0.645497224
Prostate_GSE6919_U95C,0.833333333,0.816496581,0.288675135,0,0.471404521,0.707106781,0.447213595,0.447213595,0.365148372,0.577350269,0.577350269,0.707106781,0.40824829,0.40824829,0.745355992,0.730296743,0.632455532,0.547722558,0.547722558,0.730296743,0.745355992,0.333333333,0.833333333,0.471404521,0.645497224,0.316227766,0.730296743,0.632455532,0.632455532,0.447213595
Prostate_GSE11682,0.707106781,0,0,1,0,0.707106781,1,1,0,0,0.707106781,0.707106781,0,1,0.707106781,0.707106781,1,0,0.707106781,0,0,0.707106781,0.707106781,1,0,0.707106781,0.707106781,0.707106781,0.707106781,0.707106781
prostate_tumorVSNormal-full,0.707106781,0.853912564,0.540061725,0.5,0.935414347,0.456435465,0.447213595,0.487950036,0.6172134,0.912870929,0.645497224,0.5,0.866025404,0.612372436,0.645497224,0.612372436,0.547722558,0.43643578,0.690065559,0.377964473,0.456435465,0.40824829,0.790569415,0.763762616,0.353553391,0.816496581,0.547722558,0.9258201,0.845154255,0.755928946
