Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ALL-AML-full,2,6,4,4,3,4,6,4,4,4,3,3,3,6,10,5,2,3,4,4,2,2,4,4,4,5,6,4,4,7
CNS,6,5,2,2,5,2,1,1,4,3,1,2,2,3,3,1,4,2,2,3,2,5,2,3,3,2,3,4,4,2
Colon,4,3,5,3,2,3,4,3,5,4,5,3,3,3,2,2,4,2,5,2,4,6,4,3,3,4,5,3,4,3
