Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ALL-AML-full,1.0,1.0,1.0,1.0,0.85714287,0.85714287,1.0,1.0,0.85714287,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.85714287,0.71428573,0.85714287,1.0,0.875,0.875,0.71428573,0.85714287,0.85714287,0.71428573,0.85714287,0.85714287,1.0,1.0
DLBCL,0.875,1.0,1.0,1.0,0.625,0.625,1.0,1.0,0.5714286,0.85714287,0.875,0.875,0.75,0.875,0.875,1.0,1.0,1.0,1.0,0.85714287,1.0,1.0,0.75,0.875,1.0,0.875,1.0,0.71428573,1.0,0.85714287
prostate_tumorVSNormal-full,0.9285714,0.85714287,0.9285714,0.64285713,1.0,0.5714286,0.3846154,0.46153846,0.61538464,1.0,0.71428573,0.64285713,0.85714287,0.5714286,0.71428573,0.85714287,0.53846157,0.7692308,0.6923077,0.53846157,0.42857143,0.5714286,0.9285714,0.71428573,0.64285713,0.85714287,0.61538464,0.84615386,0.7692308,0.7692308
Colon,0.71428573,0.5714286,0.6666667,0.8333333,0.8333333,0.6666667,0.6666667,1.0,0.8333333,0.5,0.71428573,0.71428573,0.6666667,0.8333333,0.6666667,0.6666667,0.8333333,0.8333333,1.0,1.0,0.71428573,0.85714287,0.8333333,1.0,0.8333333,0.6666667,0.5,0.8333333,0.8333333,0.6666667
