Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ALL-AML-full,tensor(0.7500),tensor(1.),tensor(1.),tensor(1.),tensor(0.8571),tensor(0.8571),tensor(0.8571),tensor(0.8571),tensor(0.8571),tensor(0.8571),tensor(0.7500),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(1.),tensor(0.5714),tensor(1.),tensor(0.8571),tensor(1.),tensor(0.7500),tensor(0.7500),tensor(0.8571),tensor(0.7143),tensor(1.),tensor(0.7143),tensor(0.4286),tensor(0.8571),tensor(1.),tensor(0.8571)
CNS,tensor(0.5000),tensor(0.6667),tensor(0.6667),tensor(0.6667),tensor(0.5000),tensor(0.5000),tensor(0.1667),tensor(0.3333),tensor(0.6667),tensor(0.5000),tensor(0.8333),tensor(0.3333),tensor(0.5000),tensor(0.3333),tensor(0.6667),tensor(0.1667),tensor(0.3333),tensor(0.6667),tensor(0.6667),tensor(0.6667),tensor(0.3333),tensor(0.8333),tensor(0.5000),tensor(0.6667),tensor(0.6667),tensor(0.8333),tensor(0.5000),tensor(0.5000),tensor(0.8333),tensor(0.6667)
Colon,tensor(0.7143),tensor(0.7143),tensor(0.8333),tensor(1.),tensor(0.6667),tensor(0.8333),tensor(1.),tensor(0.8333),tensor(1.),tensor(0.6667),tensor(0.8571),tensor(0.5714),tensor(0.8333),tensor(0.8333),tensor(0.6667),tensor(0.5000),tensor(0.8333),tensor(1.),tensor(1.),tensor(1.),tensor(0.7143),tensor(1.),tensor(0.8333),tensor(0.8333),tensor(0.8333),tensor(0.5000),tensor(0.6667),tensor(1.),tensor(0.8333),tensor(0.5000)
Ovarian,tensor(0.9231),tensor(0.9615),tensor(0.9615),tensor(1.),tensor(0.9200),tensor(0.9600),tensor(0.9200),tensor(0.9600),tensor(1.),tensor(1.),tensor(0.9615),tensor(0.9615),tensor(0.9231),tensor(1.),tensor(1.),tensor(0.9600),tensor(1.),tensor(0.8400),tensor(0.9600),tensor(1.),tensor(0.9615),tensor(0.9615),tensor(0.9615),tensor(0.8000),tensor(0.9200),tensor(0.9200),tensor(0.9600),tensor(1.),tensor(0.9600),tensor(0.8800)
