Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ALL-AML-full,4,5,4,4,3,4,5,3,4,4,3,3,5,6,9,5,2,3,4,3,4,2,5,2,4,5,5,4,4,7
prostate_tumorVSNormal-full,4,5,5,5,3,3,3,3,4,4,2,4,4,5,3,5,3,4,2,3,6,6,5,7,3,4,4,24,3,2
Colon,6,3,5,4,3,4,3,2,4,4,5,3,3,4,3,5,4,3,5,4,4,4,5,3,4,4,3,4,4,5
